epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.5621,1.51554,1.95475,1.28139,0.6393,0.66858,0.67451,0.36821,1.26567,1.5523,1.17443,0.000473048,0.000473048,0.000473048
2,186.594,1.29171,1.41448,1.17263,0.67952,0.70239,0.74419,0.43549,1.25158,1.97831,1.19599,0.000939983,0.000939983,0.000939983
3,275.552,1.22711,1.29963,1.14092,0.62234,0.78055,0.78688,0.47467,1.14324,1.38089,1.11482,0.00139749,0.00139749,0.00139749
4,371.813,1.17173,1.19019,1.1096,0.64941,0.79489,0.82908,0.52354,1.15314,1.21871,1.10319,0.00138656,0.00138656,0.00138656
5,467.879,1.15462,1.09706,1.11474,0.86057,0.80953,0.88083,0.56733,1.10513,1.03376,1.08908,0.00137241,0.00137241,0.00137241
6,555.601,1.12648,0.95193,1.08357,0.89519,0.82842,0.91494,0.59769,1.10066,0.93801,1.09013,0.00135826,0.00135826,0.00135826
7,634.047,1.10291,0.95849,1.07053,0.86915,0.86044,0.93202,0.61483,1.05394,0.90932,1.02062,0.00134412,0.00134412,0.00134412
8,727.683,1.05705,0.87179,1.05005,0.85458,0.81036,0.90469,0.57543,1.03509,0.99623,1.0309,0.00132997,0.00132997,0.00132997
9,826.197,1.03426,0.87516,1.04818,0.87346,0.8795,0.92847,0.60612,1.06637,0.82592,1.04149,0.00131582,0.00131582,0.00131582
10,922.637,1.0341,0.82794,1.04111,0.85775,0.86826,0.91011,0.63336,1.00729,0.83406,1.01956,0.00130168,0.00130168,0.00130168
11,1013.9,1.01565,0.79882,1.02122,0.9034,0.87694,0.93509,0.62256,1.02867,0.77826,1.01443,0.00128753,0.00128753,0.00128753
12,1096.21,1.01693,0.78626,1.03117,0.88638,0.88069,0.92587,0.63375,1.00466,0.80679,1.00574,0.00127338,0.00127338,0.00127338
13,1181.48,1.00597,0.76917,1.01826,0.90503,0.90784,0.93602,0.63414,1.00265,0.71239,0.99963,0.00125923,0.00125923,0.00125923
14,1268.73,1.0043,0.76074,1.01705,0.91183,0.88536,0.94127,0.62803,1.01251,0.73379,1.00169,0.00124509,0.00124509,0.00124509
15,1350.27,0.98824,0.74764,0.99474,0.86851,0.87612,0.92691,0.64866,0.96474,0.73355,0.98585,0.00123094,0.00123094,0.00123094
16,1432.7,0.96881,0.773,1.00015,0.88641,0.86572,0.91994,0.63513,1.00676,0.79922,0.99734,0.00121679,0.00121679,0.00121679
17,1511.33,0.96499,0.72584,0.99026,0.93449,0.87552,0.94961,0.65843,0.98407,0.69168,0.98812,0.00120265,0.00120265,0.00120265
18,1582.14,0.96455,0.68649,0.9833,0.91025,0.87697,0.94149,0.64857,0.99741,0.7234,0.9824,0.0011885,0.0011885,0.0011885
19,1654.74,0.96868,0.69207,0.99802,0.89498,0.90945,0.95112,0.66041,0.97384,0.6586,0.98134,0.00117435,0.00117435,0.00117435
20,1742.62,0.9503,0.66278,0.98612,0.8834,0.89226,0.94879,0.65795,0.9719,0.66241,0.97382,0.00116021,0.00116021,0.00116021
21,1826.46,0.94668,0.69378,0.98395,0.88843,0.90738,0.94238,0.65859,0.97735,0.68866,0.98466,0.00114606,0.00114606,0.00114606
22,1910.2,0.95474,0.66769,0.98354,0.91416,0.90602,0.95663,0.66255,0.98621,0.69602,0.98541,0.00113191,0.00113191,0.00113191
23,1996.51,0.94275,0.6735,0.9757,0.92792,0.89015,0.95732,0.66302,0.99701,0.69024,0.98124,0.00111776,0.00111776,0.00111776
24,2080.91,0.92497,0.65524,0.97941,0.91261,0.91341,0.95285,0.67783,0.95895,0.68412,0.96914,0.00110362,0.00110362,0.00110362
25,2163.45,0.91972,0.66239,0.97216,0.90796,0.91136,0.95614,0.67189,0.96128,0.63157,0.96763,0.00108947,0.00108947,0.00108947
26,2248.72,0.92215,0.65959,0.96851,0.90481,0.93355,0.96183,0.67436,0.95469,0.63228,0.96593,0.00107532,0.00107532,0.00107532
27,2335.07,0.9182,0.64512,0.97526,0.9229,0.90123,0.94715,0.66671,0.96058,0.61824,0.97048,0.00106118,0.00106118,0.00106118
28,2423.69,0.91325,0.62051,0.97327,0.92418,0.92306,0.9621,0.6811,0.96368,0.62215,0.97054,0.00104703,0.00104703,0.00104703
29,2507.67,0.91032,0.61746,0.96993,0.92478,0.91829,0.95246,0.67533,0.94887,0.62265,0.96412,0.00103288,0.00103288,0.00103288
30,2591.23,0.91335,0.6219,0.96912,0.92425,0.9086,0.96487,0.6808,0.95257,0.62253,0.96042,0.00101873,0.00101873,0.00101873
31,2676.14,0.91921,0.76221,0.95833,0.92985,0.92032,0.96497,0.68853,0.94356,0.59134,0.95939,0.00100459,0.00100459,0.00100459
32,2757.12,0.92067,0.60677,0.96113,0.91177,0.91801,0.96005,0.68911,0.94518,0.62191,0.95375,0.00099044,0.00099044,0.00099044
33,2842.62,0.90689,0.59457,0.95854,0.92374,0.92231,0.95956,0.68966,0.9499,0.59538,0.95852,0.000976293,0.000976293,0.000976293
34,2925.15,0.88936,0.584,0.95428,0.92363,0.91389,0.95692,0.68054,0.96691,0.62641,0.96532,0.000962146,0.000962146,0.000962146
35,3007.21,0.88938,0.57757,0.95475,0.92631,0.92493,0.95603,0.67159,0.96261,0.6425,0.96051,0.000947999,0.000947999,0.000947999
36,3092.19,0.89153,0.58504,0.95899,0.93531,0.89788,0.9691,0.67985,0.95748,0.6039,0.96437,0.000933851,0.000933851,0.000933851
37,3172.88,0.90828,0.613,0.96155,0.9142,0.92355,0.9651,0.69502,0.92421,0.5763,0.95261,0.000919704,0.000919704,0.000919704
38,3253.64,0.90603,0.59197,0.9507,0.9085,0.90277,0.94804,0.67924,0.9727,0.63238,0.96097,0.000905557,0.000905557,0.000905557
39,3334.13,0.89564,0.57288,0.96516,0.92294,0.91475,0.96221,0.68686,0.96054,0.61615,0.96032,0.00089141,0.00089141,0.00089141
40,3414.79,0.88708,0.65091,0.95032,0.93787,0.90074,0.95317,0.66611,0.97877,0.60178,0.9602,0.000877263,0.000877263,0.000877263
41,3495.57,0.89157,0.57298,0.95612,0.93565,0.92723,0.96584,0.69786,0.9339,0.56786,0.95263,0.000863116,0.000863116,0.000863116
42,3576.13,0.88927,0.56626,0.95731,0.91488,0.93379,0.96289,0.67766,0.95602,0.57885,0.95767,0.000848969,0.000848969,0.000848969
43,3656.45,0.87815,0.54471,0.94922,0.92848,0.92497,0.96058,0.68955,0.95143,0.56703,0.94829,0.000834822,0.000834822,0.000834822
44,3737.05,0.87236,0.60324,0.93085,0.91882,0.94415,0.96472,0.7013,0.93074,0.56685,0.95025,0.000820675,0.000820675,0.000820675
45,3817.72,0.88939,0.58518,0.94792,0.92303,0.92299,0.95166,0.69558,0.92929,0.57698,0.94874,0.000806528,0.000806528,0.000806528
46,3898.34,0.87969,0.55963,0.95267,0.90711,0.94322,0.96923,0.70065,0.93197,0.55813,0.94884,0.00079238,0.00079238,0.00079238
47,3978.92,0.86574,0.56943,0.9484,0.93519,0.92151,0.96506,0.69436,0.93852,0.56964,0.94654,0.000778233,0.000778233,0.000778233
48,4059.64,0.87325,0.55742,0.94229,0.92727,0.92412,0.96066,0.68832,0.94256,0.58912,0.95382,0.000764086,0.000764086,0.000764086
49,4140.15,0.87937,0.53741,0.94686,0.92961,0.93268,0.96319,0.70119,0.92439,0.56651,0.94747,0.000749939,0.000749939,0.000749939
50,4220.82,0.88305,0.54182,0.94914,0.92735,0.92292,0.95142,0.69099,0.93416,0.57772,0.94925,0.000735792,0.000735792,0.000735792
51,4301.32,0.88322,0.54152,0.94199,0.94354,0.94074,0.97013,0.70382,0.93943,0.54214,0.95404,0.000721645,0.000721645,0.000721645
52,4382.01,0.86889,0.51891,0.94608,0.93621,0.92709,0.96358,0.69981,0.92241,0.54887,0.94602,0.000707498,0.000707498,0.000707498
53,4462.72,0.85709,0.52326,0.94138,0.95311,0.91496,0.96978,0.70756,0.93209,0.53968,0.94525,0.000693351,0.000693351,0.000693351
54,4543.36,0.86412,0.52481,0.94351,0.93174,0.94567,0.97024,0.70793,0.91185,0.54897,0.94038,0.000679204,0.000679204,0.000679204
55,4624.02,0.86363,0.5265,0.93762,0.94582,0.9442,0.97557,0.70539,0.92768,0.53815,0.9418,0.000665057,0.000665057,0.000665057
56,4704.63,0.86158,0.52727,0.93943,0.93101,0.94732,0.96952,0.7069,0.93194,0.53513,0.94393,0.000650909,0.000650909,0.000650909
57,4785.35,0.85791,0.52125,0.94433,0.92942,0.93738,0.97206,0.70664,0.92577,0.54238,0.94585,0.000636762,0.000636762,0.000636762
58,4865.83,0.85444,0.57637,0.9312,0.92762,0.94547,0.97293,0.71227,0.94628,0.56124,0.9511,0.000622615,0.000622615,0.000622615
59,4946.52,0.85715,0.53676,0.93797,0.94241,0.92008,0.95972,0.69737,0.94223,0.54299,0.95332,0.000608468,0.000608468,0.000608468
60,5027.01,0.85641,0.50764,0.93945,0.9314,0.94394,0.95967,0.69528,0.93259,0.56548,0.95055,0.000594321,0.000594321,0.000594321
61,5107.46,0.84944,0.5013,0.93204,0.94144,0.93655,0.97444,0.70727,0.92592,0.52768,0.9426,0.000580174,0.000580174,0.000580174
62,5187.97,0.85118,0.52391,0.93457,0.9504,0.94888,0.97384,0.71232,0.93358,0.5144,0.94787,0.000566027,0.000566027,0.000566027
63,5268.62,0.85795,0.50926,0.93693,0.93201,0.95608,0.97033,0.70641,0.92322,0.52459,0.94268,0.00055188,0.00055188,0.00055188
64,5349.12,0.84152,0.50167,0.93164,0.9355,0.93842,0.96533,0.70152,0.93158,0.56053,0.95013,0.000537733,0.000537733,0.000537733
65,5429.68,0.85065,0.49798,0.93143,0.93378,0.94811,0.9734,0.71303,0.92196,0.53498,0.94693,0.000523586,0.000523586,0.000523586
66,5510.43,0.83753,0.50149,0.92569,0.93147,0.93921,0.96296,0.69974,0.90896,0.54158,0.94285,0.000509438,0.000509438,0.000509438
